Clave,Descripción,Estado
527,SANTOS REYES PAPALO,OAXACA
528,SANTOS REYES TEPEJILLO,OAXACA
529,SANTOS REYES YUCUNA,OAXACA
537,SILACAYOAPAM,OAXACA
538,SITIO DE XITLAPEHUA,OAXACA
539,SOLEDAD ETLA,OAXACA
31,TAMAZULAPAM DEL ESPIRITU SANTO,OAXACA
542,TANICHE,OAXACA
543,TATALTEPEC DE VALDES,OAXACA
541,TENETZE DE ZARAGOZA,OAXACA
544,TEOCOCUILCO DE MARCOS PEREZ,OAXACA
545,TEOTITLAN DE FLORES MAGON,OAXACA
546,TEOTITLAN DEL VALLE,OAXACA
547,TEOTONGO,OAXACA
548,TEPELMEME VILLA DE MORELOS,OAXACA
551,TLACOLULA DE MATAMOROS,OAXACA
552,TLACOTEPEC PLUMAS,OAXACA
553,TLALIXTAC DE CABRERA,OAXACA
554,TOTONTEPEC VILLA DE MORELOS,OAXACA
555,TRINIDAD ZAACHILA,OAXACA
557,UNION HIDALGO,OAXACA
558,VALERIO TRUJANO,OAXACA
405,VILLA DE CHILAPA DE DIAZ,OAXACA
338,VILLA DE ETLA,OAXACA
540,VILLA DE TAMAZULAPAN DEL PROGRESO,OAXACA
334,VILLA DE TUTUTEPEC DE MELCHOR OCAMPO,OAXACA
565,VILLA DE ZAACHILA,OAXACA
560,VILLA DIAZ ORDAZ,OAXACA
38,VILLA HIDALGO,OAXACA
277,VILLA SOLA DE VEGA,OAXACA
280,VILLA TALEA DE CASTRO,OAXACA
486,VILLA TEJUPAM DE LA UNION,OAXACA
561,YAXE,OAXACA
563,YOGANA,OAXACA
564,YUTANDUCHI DE GUERRERO,OAXACA
567,ZAPOTITLAN LAGUNAS,OAXACA
568,ZAPOTITLAN PALMAS,OAXACA
570,ZIMATLAN DE ALVAREZ,OAXACA
1,ACAJETE,PUEBLA
2,ACATENO,PUEBLA
3,ACATLAN,PUEBLA
4,ACATZINGO,PUEBLA
5,ACTEOPAN,PUEBLA
6,AHUACATLAN,PUEBLA
7,AHUATLAN,PUEBLA
8,AHUAZOTEPEC,PUEBLA
9,AHUEHUETITLA,PUEBLA
10,AJALPAN,PUEBLA
11,ALBINO ZERTUCHE,PUEBLA
12,ALJOJUCA,PUEBLA
13,ALTEPEXI,PUEBLA
14,AMIXTLAN,PUEBLA
15,AMOZOC,PUEBLA
16,AQUIXTLA,PUEBLA
17,ATEMPAN,PUEBLA
18,ATEXCAL,PUEBLA
80,ATLEQUIZAYAN,PUEBLA
19,ATLIXCO,PUEBLA
20,ATOYATEMPAN,PUEBLA
21,ATZALA,PUEBLA
22,ATZITZIHUACAN,PUEBLA
23,ATZITZINTLA,PUEBLA
24,AXUTLA,PUEBLA
25,AYOTOXCO DE GUERRERO,PUEBLA
26,CALPAN,PUEBLA
27,CALTEPEC,PUEBLA
28,CAMOCUAUTLA,PUEBLA
99,CAÑADA MORELOS,PUEBLA
29,CAXHUACAN,PUEBLA
45,CHALCHICOMULA DE SESMA,PUEBLA
46,CHAPULCO,PUEBLA
47,CHIAUTLA,PUEBLA
48,CHIAUTZINGO,PUEBLA
50,CHICHIQUILA,PUEBLA
49,CHICONCUAUTLA,PUEBLA
51,CHIETLA,PUEBLA
52,CHIGMECATITLAN,PUEBLA
53,CHIGNAHUAPAN,PUEBLA
54,CHIGNAUTLA,PUEBLA
55,CHILA,PUEBLA
56,CHILA DE LA SAL,PUEBLA
58,CHILCHOTLA,PUEBLA
59,CHINANTLA,PUEBLA
30,COATEPEC,PUEBLA
31,COATZINGO,PUEBLA
32,COHETZALA,PUEBLA
33,COHUECAN,PUEBLA
34,CORONANGO,PUEBLA
35,COXCATLAN,PUEBLA
36,COYOMEAPAN,PUEBLA
37,COYOTEPEC,PUEBLA
38,CUAPIAXTLA DE MADERO,PUEBLA
39,CUAUTEMPAN,PUEBLA
40,CUAUTINCHAN,PUEBLA
41,CUAUTLANCINGO,PUEBLA
42,CUAYUCA DE ANDRADE,PUEBLA
43,CUETZALAN DEL PROGRESO,PUEBLA
44,CUYOACO,PUEBLA
60,DOMINGO ARENAS,PUEBLA
61,ELOXOCHITLAN,PUEBLA
62,EPATLAN,PUEBLA
63,ESPERANZA,PUEBLA
64,FRANCISCO Z. MENA,PUEBLA
65,GENERAL FELIPE ANGELES,PUEBLA
66,GUADALUPE,PUEBLA
67,GUADALUPE VICTORIA,PUEBLA
68,HERMENEGILDO GALEANA,PUEBLA
57,HONEY,PUEBLA
69,HUAQUECHULA,PUEBLA
70,HUATLATLAUCA,PUEBLA
71,HUAUCHINANGO,PUEBLA
72,HUEHUETLA,PUEBLA
73,HUEHUETLAN EL CHICO,PUEBLA
150,HUEHUETLAN EL GRANDE,PUEBLA
74,HUEJOTZINGO,PUEBLA
75,HUEYAPAN,PUEBLA
76,HUEYTAMALCO,PUEBLA
77,HUEYTLALPAN,PUEBLA
78,HUITZILAN DE SERDAN,PUEBLA
79,HUITZILTEPEC,PUEBLA
81,IXCAMILPA DE GUERRERO,PUEBLA
82,IXCAQUIXTLA,PUEBLA
83,IXTACAMAXTITLAN,PUEBLA
84,IXTEPEC,PUEBLA
85,IZUCAR DE MATAMOROS,PUEBLA
86,JALPAN,PUEBLA
87,JOLALPAN,PUEBLA
88,JONOTLA,PUEBLA
89,JOPALA,PUEBLA
90,JUAN C. BONILLA,PUEBLA
91,JUAN GALINDO,PUEBLA
92,JUAN N. MENDEZ,PUEBLA
95,LA MAGDALENA TLATLAUQUITEPEC,PUEBLA
93,LAFRAGUA,PUEBLA
94,LIBRES,PUEBLA
118,LOS REYES DE JUAREZ,PUEBLA
96,MAZAPILTEPEC DE JUAREZ,PUEBLA
97,MIXTLA,PUEBLA
98,MOLCAXAC,PUEBLA
100,NAUPAN,PUEBLA
101,NAUZONTLA,PUEBLA
102,NEALTICAN,PUEBLA
103,NICOLAS BRAVO,PUEBLA
104,NOPALUCAN,PUEBLA
105,OCOTEPEC,PUEBLA
106,OCOYUCAN,PUEBLA
107,OLINTLA,PUEBLA
108,ORIENTAL,PUEBLA
109,PAHUATLAN,PUEBLA
110,PALMAR DE BRAVO,PUEBLA
111,PANTEPEC,PUEBLA
112,PETLALCINGO,PUEBLA
113,PIAXTLA,PUEBLA
114,PUEBLA,PUEBLA
115,QUECHOLAC,PUEBLA
116,QUIMIXTLAN,PUEBLA
117,RAFAEL LARA GRAJALES,PUEBLA
119,SAN ANDRES CHOLULA,PUEBLA
120,SAN ANTONIO CANADA,PUEBLA
121,SAN DIEGO LA MESA TOCHIMILTZINGO,PUEBLA
122,SAN FELIPE TEOTLALCINGO,PUEBLA
123,SAN FELIPE TEPATLAN,PUEBLA
124,SAN GABRIEL CHILAC,PUEBLA
125,SAN GREGORIO ATZOMPA,PUEBLA
126,SAN JERONIMO TECUANIPAN,PUEBLA
127,SAN JERONIMO XAYACATLAN,PUEBLA
128,SAN JOSE CHIAPA,PUEBLA
129,SAN JOSE MIAHUATLAN,PUEBLA
130,SAN JUAN ATENCO,PUEBLA
131,SAN JUAN ATZOMPA,PUEBLA
132,SAN MARTIN TEXMELUCAN,PUEBLA
133,SAN MARTIN TOTOLTEPEC,PUEBLA
134,SAN MATIAS TLALANCALECA,PUEBLA
135,SAN MIGUEL IXITLAN,PUEBLA
136,SAN MIGUEL XOXTLA,PUEBLA
137,SAN NICOLAS BUENOS AIRES,PUEBLA
138,SAN NICOLAS LOS RANCHOS,PUEBLA
139,SAN PABLO ANICANO,PUEBLA
140,SAN PEDRO CHOLULA,PUEBLA
141,SAN PEDRO YELOIXTLAHUACA,PUEBLA
142,SAN SALVADOR EL SECO,PUEBLA
143,SAN SALVADOR EL VERDE,PUEBLA
144,SAN SALVADOR HUIXCOLOTLA,PUEBLA
145,SAN SEBASTIAN TLACOTEPEC,PUEBLA
146,SANTA CATARINA TLALTEMPAN,PUEBLA
147,SANTA INES AHUATEMPAN,PUEBLA
148,SANTA ISABEL CHOLULA,PUEBLA
149,SANTIAGO MIAHUATLAN,PUEBLA
151,SANTO TOMAS HUEYOTLIPAN,PUEBLA
152,SOLTEPEC,PUEBLA
153,TECALI DE HERRERA,PUEBLA
154,TECAMACHALCO,PUEBLA
155,TECOMATLAN,PUEBLA
156,TEHUACAN,PUEBLA
157,TEHUITZINGO,PUEBLA
158,TENAMPULCO,PUEBLA
159,TEOPANTLAN,PUEBLA
160,TEOTLALCO,PUEBLA
161,TEPANCO DE LOPEZ,PUEBLA
162,TEPANGO DE RODRIGUEZ,PUEBLA
163,TEPATLAXCO DE HIDALGO,PUEBLA
164,TEPEACA,PUEBLA
165,TEPEMAXALCO,PUEBLA
166,TEPEOJUMA,PUEBLA
167,TEPETZINTLA,PUEBLA
168,TEPEXCO,PUEBLA
169,TEPEXI DE RODRIGUEZ,PUEBLA
170,TEPEYAHUALCO,PUEBLA
171,TEPEYAHUALCO CUAUHTEMOC,PUEBLA
172,TETELA DE OCAMPO,PUEBLA
173,TETELES DE AVILA CASTILLO,PUEBLA
174,TEZIUTLAN,PUEBLA
175,TIANGUISMANALCO,PUEBLA
176,TILAPA,PUEBLA
179,TLACHICHUCA,PUEBLA
177,TLACOTEPEC DE BENITO JUAREZ,PUEBLA
178,TLACUILOTEPEC,PUEBLA
180,TLAHUAPAN,PUEBLA
182,TLALNEPANTLA,PUEBLA
181,TLALTENANGO,PUEBLA
183,TLAOLA,PUEBLA
184,TLAPACOYA,PUEBLA
185,TLAPANALA,PUEBLA
186,TLATLAUQUITEPEC,PUEBLA
187,TLAXCO,PUEBLA
188,TOCHIMILCO,PUEBLA
189,TOCHTEPEC,PUEBLA
190,TOTOLTEPEC DE GUERRERO,PUEBLA
191,TULCINGO,PUEBLA
192,TUZAMAPAN DE GALEANA,PUEBLA
193,TZICATLACOYAN,PUEBLA
194,VENUSTIANO CARRANZA,PUEBLA
195,VICENTE GUERRERO,PUEBLA
196,XAYACATLAN DE BRAVO,PUEBLA
197,XICOTEPEC,PUEBLA
198,XICOTLAN,PUEBLA
199,XIUTETELCO,PUEBLA
200,XOCHIAPULCO,PUEBLA
201,XOCHILTEPEC,PUEBLA
202,XOCHITLAN DE VICENTE SUAREZ,PUEBLA
203,XOCHITLAN TODOS SANTOS,PUEBLA
204,YAONAHUAC,PUEBLA
205,YEHUALTEPEC,PUEBLA
206,ZACAPALA,PUEBLA
207,ZACAPOAXTLA,PUEBLA
208,ZACATLAN,PUEBLA
209,ZAPOTITLAN,PUEBLA
210,ZAPOTITLAN DE MENDEZ,PUEBLA
211,ZARAGOZA,PUEBLA
212,ZAUTLA,PUEBLA
213,ZIHUATEUTLA,PUEBLA
214,ZINACATEPEC,PUEBLA
215,ZONGOZOTLA,PUEBLA
216,ZOQUIAPAN,PUEBLA
217,ZOQUITLAN,PUEBLA
1,AMEALCO DE BONFIL,QUERETARO
3,ARROYO SECO,QUERETARO
4,CADEREYTA DE MONTES,QUERETARO
5,COLON,QUERETARO
6,CORREGIDORA,QUERETARO
11,EL MARQUES,QUERETARO
7,EZEQUIEL MONTES,QUERETARO
8,HUIMILPAN,QUERETARO
9,JALPAN DE SERRA,QUERETARO
10,LANDA DE MATAMOROS,QUERETARO
12,PEDRO ESCOBEDO,QUERETARO
13,PENAMILLER,QUERETARO
2,PINAL DE AMOLES,QUERETARO
14,QUERETARO,QUERETARO
15,SAN JOAQUIN,QUERETARO
16,SAN JUAN DEL RIO,QUERETARO
17,TEQUISQUIAPAN,QUERETARO
18,TOLIMAN,QUERETARO
10,BACALAR,QUINTANA ROO
5,BENITO JUAREZ,QUINTANA ROO
1,COZUMEL,QUINTANA ROO
2,FELIPE CARRILLO PUERTO,QUINTANA ROO
3,ISLA MUJERES,QUINTANA ROO
6,JOSE MARIA MORELOS,QUINTANA ROO
7,LAZARO CARDENAS,QUINTANA ROO
4,OTHON P. BLANCO,QUINTANA ROO
11,PUERTO MORELOS,QUINTANA ROO
8,SOLIDARIDAD,QUINTANA ROO
9,TULUM,QUINTANA ROO
1,AHUALULCO,SAN LUIS POTOSI
2,ALAQUINES,SAN LUIS POTOSI
3,AQUISMON,SAN LUIS POTOSI
4,ARMADILLO DE LOS INFANTE,SAN LUIS POTOSI
53,AXTLA DE TERRAZAS,SAN LUIS POTOSI
5,CARDENAS,SAN LUIS POTOSI
6,CATORCE,SAN LUIS POTOSI
7,CEDRAL,SAN LUIS POTOSI
8,CERRITOS,SAN LUIS POTOSI
9,CERRO DE SAN PEDRO,SAN LUIS POTOSI
15,CHARCAS,SAN LUIS POTOSI
10,CIUDAD DEL MAIZ,SAN LUIS POTOSI
11,CIUDAD FERNANDEZ,SAN LUIS POTOSI
13,CIUDAD VALLES,SAN LUIS POTOSI
14,COXCATLAN,SAN LUIS POTOSI
16,EBANO,SAN LUIS POTOSI
17,GUADALCAZAR,SAN LUIS POTOSI
18,HUEHUETLAN,SAN LUIS POTOSI
19,LAGUNILLAS,SAN LUIS POTOSI
20,MATEHUALA,SAN LUIS POTOSI
57,MATLAPA,SAN LUIS POTOSI
21,MEXQUITIC DE CARMONA,SAN LUIS POTOSI
22,MOCTEZUMA,SAN LUIS POTOSI
58,"NARANJO, EL",SAN LUIS POTOSI
23,RAYON,SAN LUIS POTOSI
24,RIOVERDE,SAN LUIS POTOSI
25,SALINAS,SAN LUIS POTOSI
26,SAN ANTONIO,SAN LUIS POTOSI
27,SAN CIRO DE ACOSTA,SAN LUIS POTOSI
28,SAN LUIS POTOSI,SAN LUIS POTOSI
29,SAN MARTIN CHALCHICUAUTLA,SAN LUIS POTOSI
30,SAN NICOLAS TOLENTINO,SAN LUIS POTOSI
34,SAN VICENTE TANCUAYALAB,SAN LUIS POTOSI
31,SANTA CATARINA,SAN LUIS POTOSI
32,SANTA MARIA DEL RIO,SAN LUIS POTOSI
33,SANTO DOMINGO,SAN LUIS POTOSI
35,SOLEDAD DE GRACIANO SANCHEZ,SAN LUIS POTOSI
36,TAMASOPO,SAN LUIS POTOSI
37,TAMAZUNCHALE,SAN LUIS POTOSI
38,TAMPACAN,SAN LUIS POTOSI
39,TAMPAMOLON CORONA,SAN LUIS POTOSI
40,TAMUIN,SAN LUIS POTOSI
12,TANCANHUITZ,SAN LUIS POTOSI
41,TANLAJAS,SAN LUIS POTOSI
42,TANQUIAN DE ESCOBEDO,SAN LUIS POTOSI
43,TIERRA NUEVA,SAN LUIS POTOSI
44,VANEGAS,SAN LUIS POTOSI
45,VENADO,SAN LUIS POTOSI
56,VILLA DE ARISTA,SAN LUIS POTOSI
46,VILLA DE ARRIAGA,SAN LUIS POTOSI
47,VILLA DE GUADALUPE,SAN LUIS POTOSI
48,VILLA DE LA PAZ,SAN LUIS POTOSI
49,VILLA DE RAMOS,SAN LUIS POTOSI
50,VILLA DE REYES,SAN LUIS POTOSI
51,VILLA HIDALGO,SAN LUIS POTOSI
52,VILLA JUAREZ,SAN LUIS POTOSI
54,XILITLA,SAN LUIS POTOSI
55,ZARAGOZA,SAN LUIS POTOSI
1,AHOME,SINALOA
2,ANGOSTURA,SINALOA
3,BADIRAGUATO,SINALOA
7,CHOIX,SINALOA
4,CONCORDIA,SINALOA
5,COSALA,SINALOA
6,CULIACAN,SINALOA
10,EL FUERTE,SINALOA
8,ELOTA,SINALOA
9,ESCUINAPA,SINALOA
11,GUASAVE,SINALOA
12,MAZATLAN,SINALOA
13,MOCORITO,SINALOA
18,NAVOLATO,SINALOA
14,ROSARIO,SINALOA
15,SALVADOR ALVARADO,SINALOA
16,SAN IGNACIO,SINALOA
17,SINALOA,SINALOA
1,ACONCHI,SONORA
2,AGUAPRIETA,SONORA
3,ALAMOS,SONORA
4,ALTAR,SONORA
5,ARIVECHI,SONORA
6,ARIZPE,SONORA
7,ATIL,SONORA
8,BACADEHUACHI,SONORA
9,BACANORA,SONORA
11,BACOACHI,SONORA
12,BACUM,SONORA
13,BANAMICHI,SONORA
10,BASERAC,SONORA
14,BAVIACORA,SONORA
15,BAVISPE,SONORA
71,BENITO JUAREZ,SONORA
16,BENJAMIN HILL,SONORA
17,CABORCA,SONORA
18,CAJEME,SONORA
19,CANANEA,SONORA
20,CARBO,SONORA
22,CUCURPE,SONORA
23,CUMPAS,SONORA
24,DIVISADEROS,SONORA
25,EMPALME,SONORA
26,ETCHOJOA,SONORA
27,FRONTERAS,SONORA
70,GENERAL PLUTARCO ELIAS CALLES,SONORA
28,GRANADOS,SONORA
29,GUAYMAS,SONORA
30,HERMOSILLO,SONORA
31,HUACHINERA,SONORA
32,HUASABAS,SONORA
33,HUATABAMPO,SONORA
34,HUEPAC,SONORA
35,IMURIS,SONORA
21,LA COLORADA,SONORA
36,MAGDALENA,SONORA
37,MAZATLAN,SONORA
38,MOCTEZUMA,SONORA
39,NACO,SONORA
40,NACORI CHICO,SONORA
41,NACOZARI DE GARCIA,SONORA
42,NAVOJOA,SONORA
43,NOGALES,SONORA
44,ONAVAS,SONORA
45,OPODEPE,SONORA
46,OQUITOA,SONORA
47,PITIQUITO,SONORA
48,PUERTO PENASCO,SONORA
49,QUIRIEGO,SONORA
50,RAYON,SONORA
51,ROSARIO,SONORA
52,SAHUARIPA,SONORA
53,SAN FELIPE DE JESUS,SONORA
54,SAN JAVIER,SONORA
55,SAN LUIS RIO COLORADO,SONORA
56,SAN MIGUEL DE HORCASITAS,SONORA
57,SAN PEDRO DE LA CUEVA,SONORA
58,SANTA ANA,SONORA
59,SANTA CRUZ,SONORA
60,SARIC,SONORA
61,SOYOPA,SONORA
62,SUAQUI GRANDE,SONORA
63,TEPACHE,SONORA
64,TRINCHERAS,SONORA
65,TUBUTAMA,SONORA
66,URES,SONORA
67,VILLA HIDALGO,SONORA
68,VILLA PESQUEIRA,SONORA
69,YECORA,SONORA
1,BALANCAN,TABASCO
2,CARDENAS,TABASCO
3,CENTLA,TABASCO
4,CENTRO,TABASCO
5,COMALCALCO,TABASCO
6,CUNDUACAN,TABASCO
7,EMILIANO ZAPATA,TABASCO
8,HUIMANGUILLO,TABASCO
9,JALAPA,TABASCO
10,JALPA DE MENDEZ,TABASCO
11,JONUTA,TABASCO
12,MACUSPANA,TABASCO
13,NACAJUCA,TABASCO
14,PARAISO,TABASCO
15,TACOTALPA,TABASCO
16,TEAPA,TABASCO
17,TENOSIQUE,TABASCO
1,ABASOLO,TAMAULIPAS
2,ALDAMA,TAMAULIPAS
3,ALTAMIRA,TAMAULIPAS
4,ANTIGUO MORELOS,TAMAULIPAS
5,BURGOS,TAMAULIPAS
6,BUSTAMANTE,TAMAULIPAS
7,CAMARGO,TAMAULIPAS
8,CASAS,TAMAULIPAS
9,CIUDAD MADERO,TAMAULIPAS
10,CRUILLAS,TAMAULIPAS
21,EL MANTE,TAMAULIPAS
11,GOMEZ FARIAS,TAMAULIPAS
12,GONZALEZ,TAMAULIPAS
13,GUEMEZ,TAMAULIPAS
14,GUERRERO,TAMAULIPAS
15,GUSTAVO DIAZ ORDAZ,TAMAULIPAS
16,HIDALGO,TAMAULIPAS
17,JAUMAVE,TAMAULIPAS
18,JIMENEZ,TAMAULIPAS
19,LLERA,TAMAULIPAS
20,MAINERO,TAMAULIPAS
22,MATAMOROS,TAMAULIPAS
23,MENDEZ,TAMAULIPAS
24,MIER,TAMAULIPAS
25,MIGUEL ALEMAN,TAMAULIPAS
26,MIQUIHUANA,TAMAULIPAS
27,NUEVO LAREDO,TAMAULIPAS
28,NUEVO MORELOS,TAMAULIPAS
29,OCAMPO,TAMAULIPAS
30,PADILLA,TAMAULIPAS
31,PALMILLAS,TAMAULIPAS
32,REYNOSA,TAMAULIPAS
33,RIO BRAVO,TAMAULIPAS
34,SAN CARLOS,TAMAULIPAS
35,SAN FERNANDO,TAMAULIPAS
36,SAN NICOLAS,TAMAULIPAS
37,SOTO LA MARINA,TAMAULIPAS
38,TAMPICO,TAMAULIPAS
39,TULA,TAMAULIPAS
40,VALLE HERMOSO,TAMAULIPAS
41,VICTORIA,TAMAULIPAS
42,VILLAGRAN,TAMAULIPAS
43,XICOTENCATL,TAMAULIPAS
22,ACUAMANALA DE MIGUEL HIDALGO,TLAXCALA
5,ALTZAYANCA,TLAXCALA
1,AMAXAC DE GUERRERO,TLAXCALA
2,APETATITLAN DE ANTONIO CARVAJAL,TLAXCALA
3,APIZACO,TLAXCALA
4,ATLANGATEPEC,TLAXCALA
45,BENITO JUAREZ,TLAXCALA
6,CALPULALPAN,TLAXCALA
10,CHIAUTEMPAN,TLAXCALA
18,CONTLA DE JUAN CUAMATZI,TLAXCALA
8,CUAPIAXTLA,TLAXCALA
9,CUAXOMULCO,TLAXCALA
7,EL CARMEN TEQUEXQUITLA,TLAXCALA
46,EMILIANO ZAPATA,TLAXCALA
12,ESPANITA,TLAXCALA
13,HUAMANTLA,TLAXCALA
14,HUEYOTLIPAN,TLAXCALA
15,IXTACUIXTLA DE MARIANO MATAMOROS,TLAXCALA
16,IXTENCO,TLAXCALA
48,LA MAGDALENA TLALTELULCO,TLAXCALA
47,LAZARO CARDENAS,TLAXCALA
17,MAZATECOCHCO DE JOSE MARIA MORELOS,TLAXCALA
11,MUÑOZ DE DOMINGO ARENAS,TLAXCALA
21,NANACAMILPA DE MARIANO ARISTA,TLAXCALA
23,NATIVITAS,TLAXCALA
24,PANOTLA,TLAXCALA
41,PAPALOTLA DE XICOHTENCATL,TLAXCALA
49,SAN DAMIAN TEXOLOC,TLAXCALA
50,SAN FRANCISCO TETLANOHCAN,TLAXCALA
51,SAN JERONIMO ZACUALPAN,TLAXCALA
52,SAN JOSE TEACALCO,TLAXCALA
53,SAN JUAN HUACTZINCO,TLAXCALA
54,SAN LORENZO AXOCOMANITLA,TLAXCALA
55,SAN LUCAS TECOPILCO,TLAXCALA
25,SAN PABLO DEL MONTE,TLAXCALA
20,SANCTORUM DE LAZARO CARDENAS,TLAXCALA
56,SANTA ANA NOPALUCAN,TLAXCALA
57,SANTA APOLONIA TEACALCO,TLAXCALA
58,SANTA CATARINA AYOMETLA,TLAXCALA
59,SANTA CRUZ QUILEHTLA,TLAXCALA
26,SANTA CRUZ TLAXCALA,TLAXCALA
60,SANTA ISABEL XILOXOXTLA,TLAXCALA
27,TENANCINGO,TLAXCALA
28,TEOLOCHOLCO,TLAXCALA
19,TEPETITLA DE LARDIZABAL,TLAXCALA
29,TEPEYANCO,TLAXCALA
30,TERRENATE,TLAXCALA
31,TETLA DE LA SOLIDARIDAD,TLAXCALA
32,TETLATLAHUCA,TLAXCALA
33,TLAXCALA,TLAXCALA
34,TLAXCO,TLAXCALA
35,TOCATLAN,TLAXCALA
36,TOTOLAC,TLAXCALA
